Subject,Course,Section,Room,Instructor,Credits,Classes/week,Instructor preference,Instructor Time preference,Course Time preference,,Course
ARTH,24900,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",3,2,,,Morning,,ARTH 24900
ARTH,25100,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",3,1,,,Evening,,ARTH 25100
ARTH,25500,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",3,2,,,Afternoon,,ARTH 25500
ARTH,26000,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",3,1,,,Evening,,ARTH 26000
ARTH,30000,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",3,2,,,Morning,,ARTH 30000
ARTH,35120,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",3,2,,,Afternoon,,ARTH 35120
ARTH,60200,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",4,2,,,Morning,,ARTH 60200
ARTH,62100,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",4,2,,,Afternoon,,ARTH 62100
ARTH,63700,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",3,1,,,Morning,,ARTH 63700
ARTH,73400,3,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",4,1,,,Morning,,ARTH 73400
ARTH,73500,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",4,2,,,Morning,,ARTH 73500
ARTH,73600,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",4,1,,,Morning,,ARTH 73600
ARTH,76105,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",4,1,,,Evening,,ARTH 76105
ARTH,76200,2,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",3,2,,,Afternoon,,ARTH 76200
ARTH,73600,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",4,1,,,Morning,,ARTH 73600
ARTH,76105,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",4,1,,,Evening,,ARTH 76105
ARTH,76200,2,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",3,2,,,Afternoon,,ARTH 76200
ARTH,78008,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",4,1,,,Afternoon,,ARTH 78008
